date,region,state,cases,deaths
2020-02-14,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-14,Nordeste,Alagoas,0,0
2020-02-14,Nordeste,Bahia,0,0
2020-02-14,Nordeste,Ceará,0,0
2020-02-14,Nordeste,Maranhão,0,0
2020-02-14,Nordeste,Paraíba,0,0
2020-02-14,Nordeste,Pernambuco,0,0
2020-02-14,Nordeste,Piauí,0,0
2020-02-14,Nordeste,Rio Grande do Norte,0,0
2020-02-14,Nordeste,Sergipe,0,0
2020-02-14,Norte,Acre,0,0
2020-02-14,Norte,Amapá,0,0
2020-02-14,Norte,Amazonas,0,0
2020-02-14,Norte,Pará,0,0
2020-02-14,Norte,Rondônia,0,0
2020-02-14,Norte,Roraima,0,0
2020-02-14,Norte,Tocantins,0,0
2020-02-14,Sudeste,Espírito Santo,0,0
2020-02-14,Sudeste,Minas Gerais,0,0
2020-02-14,Sudeste,Rio de Janeiro,0,0
2020-02-14,Sudeste,São Paulo,0,0
2020-02-14,Sul,Paraná,0,0
2020-02-14,Sul,Rio Grande do Sul,0,0
2020-02-14,Sul,Santa Catarina,0,0
2020-02-15,Centro-Oeste,Distrito Federal,0,0
2020-02-15,Centro-Oeste,Goiás,0,0
2020-02-15,Centro-Oeste,Mato Grosso,0,0
2020-02-15,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-15,Nordeste,Alagoas,0,0
2020-02-15,Nordeste,Bahia,0,0
2020-02-15,Nordeste,Ceará,0,0
2020-02-15,Nordeste,Maranhão,0,0
2020-02-15,Nordeste,Paraíba,0,0
2020-02-15,Nordeste,Pernambuco,0,0
2020-02-15,Nordeste,Piauí,0,0
2020-02-15,Nordeste,Rio Grande do Norte,0,0
2020-02-15,Nordeste,Sergipe,0,0
2020-02-15,Norte,Acre,0,0
2020-02-15,Norte,Amapá,0,0
2020-02-15,Norte,Amazonas,0,0
2020-02-15,Norte,Pará,0,0
2020-02-15,Norte,Rondônia,0,0
2020-02-15,Norte,Roraima,0,0
2020-02-15,Norte,Tocantins,0,0
2020-02-15,Sudeste,Espírito Santo,0,0
2020-02-15,Sudeste,Minas Gerais,0,0
2020-02-15,Sudeste,Rio de Janeiro,0,0
2020-02-15,Sudeste,São Paulo,0,0
2020-02-15,Sul,Paraná,0,0
2020-02-15,Sul,Rio Grande do Sul,0,0
2020-02-15,Sul,Santa Catarina,0,0
2020-02-16,Centro-Oeste,Distrito Federal,0,0
2020-02-16,Centro-Oeste,Goiás,0,0
2020-02-16,Centro-Oeste,Mato Grosso,0,0
2020-02-16,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-16,Nordeste,Alagoas,0,0
2020-02-16,Nordeste,Bahia,0,0
2020-02-16,Nordeste,Ceará,0,0
2020-02-16,Nordeste,Maranhão,0,0
2020-02-16,Nordeste,Paraíba,0,0
2020-02-16,Nordeste,Pernambuco,0,0
2020-02-16,Nordeste,Piauí,0,0
2020-02-16,Nordeste,Rio Grande do Norte,0,0
2020-02-16,Nordeste,Sergipe,0,0
2020-02-16,Norte,Acre,0,0
2020-02-16,Norte,Amapá,0,0
2020-02-16,Norte,Amazonas,0,0
2020-02-16,Norte,Pará,0,0
2020-02-16,Norte,Rondônia,0,0
2020-02-16,Norte,Roraima,0,0
2020-02-16,Norte,Tocantins,0,0
2020-02-16,Sudeste,Espírito Santo,0,0
2020-02-16,Sudeste,Minas Gerais,0,0
2020-02-16,Sudeste,Rio de Janeiro,0,0
2020-02-16,Sudeste,São Paulo,0,0
2020-02-16,Sul,Paraná,0,0
2020-02-16,Sul,Rio Grande do Sul,0,0
2020-02-16,Sul,Santa Catarina,0,0
2020-02-17,Centro-Oeste,Distrito Federal,0,0
2020-02-17,Centro-Oeste,Goiás,0,0
2020-02-17,Centro-Oeste,Mato Grosso,0,0
2020-02-17,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-17,Nordeste,Alagoas,0,0
2020-02-17,Nordeste,Bahia,0,0
2020-02-17,Nordeste,Ceará,0,0
2020-02-17,Nordeste,Maranhão,0,0
2020-02-17,Nordeste,Paraíba,0,0
